QuestionNo,StepNo,SimTime,VehicleID,CommandID,CarrierID,VehicleState,CurrentEdgeID,Position,Speed,NextEdgeID,Action,Reason,RelatedVehicleID
1,6,1.2,OHT10,HOSTTRANSFER-20251001155204404,,前往取货,509,20691.5,710.0,511,运行,正常运行,
1,6,1.2,OHT11,HOSTTRANSFER-20251001155204399,,前往取货,488,5929.7,710.0,,运行,正常运行,
1,6,1.2,OHT12,HOSTTRANSFER-20251001155204417,,前往取货,488,15193.1,710.0,,运行,正常运行,
1,6,1.2,OHT13,HOSTTRANSFER-20251001155204426,,前往取货,488,24456.5,710.0,489,运行,正常运行,
1,6,1.2,OHT14,HOSTTRANSFER-20251001155204398,,前往取货,483,9403.5,710.0,,运行,正常运行,
1,6,1.2,OHT15,HOSTTRANSFER-20251001155204412,,取货,483,20726.0,0.0,,取货,Port作业,
1,6,1.2,OHT16,HOSTTRANSFER-20251001155204422,,前往取货,454,5878.7,710.0,,运行,正常运行,
1,6,1.2,OHT17,HOSTTRANSFER-20251001155204414,,前往取货,454,15051.5,710.0,,运行,正常运行,
1,6,1.2,OHT18,HOSTTRANSFER-20251001155204420,,前往取货,454,24224.3,710.0,455,运行,汇流避让,
1,6,1.2,OHT19,HOSTTRANSFER-20251001155204402,,前往取货,448,9373.5,710.0,449,运行,弯轨等待,
1,6,1.2,OHT20,HOSTTRANSFER-20251001155204397,,取货,448,20646.0,0.0,,取货,Port作业,
1,7,1.4,OHT01,HOSTTRANSFER-20251001155204405,,前往取货,650,4109.7,710.0,547,运行,弯轨等待,OHT03
1,7,1.4,OHT02,HOSTTRANSFER-20251001155204428,,前往取货,650,9885.1,710.0,547,运行,弯轨等待,OHT03
1,7,1.4,OHT03,HOSTTRANSFER-20251001155204403,,前往取货,650,15660.5,710.0,547,运行,汇流避让,
1,7,1.4,OHT04,HOSTTRANSFER-20251001155204423,,前往取货,539,9420.7,710.0,540,运行,弯轨等待,
1,7,1.4,OHT05,HOSTTRANSFER-20251001155204424,,前往取货,539,20833.5,710.0,541,运行,正常运行,
1,7,1.4,OHT06,HOSTTRANSFER-20251001155204418,,前往取货,515,5996.8,710.0,,运行,正常运行,
1,7,1.4,OHT07,HOSTTRANSFER-20251001155204421,,前往取货,515,15127.1,710.0,,运行,正常运行,
1,7,1.4,OHT08,HOSTTRANSFER-20251001155204401,,前往取货,515,24257.4,710.0,517,运行,正常运行,
1,7,1.4,OHT09,HOSTTRANSFER-20251001155204407,,前往取货,509,9420.7,710.0,510,运行,弯轨等待,
1,7,1.4,OHT10,HOSTTRANSFER-20251001155204404,,前往取货,509,20833.5,710.0,511,运行,正常运行,
1,7,1.4,OHT11,HOSTTRANSFER-20251001155204399,,前往取货,488,6071.7,710.0,,运行,正常运行,
1,7,1.4,OHT12,HOSTTRANSFER-20251001155204417,,前往取货,488,15335.1,710.0,,运行,正常运行,
1,7,1.4,OHT13,HOSTTRANSFER-20251001155204426,,前往取货,488,24598.5,710.0,489,运行,汇流避让,
1,7,1.4,OHT14,HOSTTRANSFER-20251001155204398,,前往取货,483,9545.5,710.0,,运行,正常运行,
1,7,1.4,OHT15,HOSTTRANSFER-20251001155204412,,取货,483,20726.0,0.0,,取货,Port作业,
1,7,1.4,OHT16,HOSTTRANSFER-20251001155204422,,前往取货,454,6020.7,710.0,,运行,正常运行,
1,7,1.4,OHT17,HOSTTRANSFER-20251001155204414,,前往取货,454,15193.5,710.0,,运行,正常运行,
1,7,1.4,OHT18,HOSTTRANSFER-20251001155204420,,前往取货,454,24366.3,710.0,455,运行,汇流避让,
1,7,1.4,OHT19,HOSTTRANSFER-20251001155204402,,前往取货,448,9515.5,710.0,449,运行,弯轨等待,
1,7,1.4,OHT20,HOSTTRANSFER-20251001155204397,,取货,448,20646.0,0.0,,取货,Port作业,
1,8,1.6,OHT01,HOSTTRANSFER-20251001155204405,,前往取货,650,4251.7,710.0,547,运行,弯轨等待,OHT03
1,8,1.6,OHT02,HOSTTRANSFER-20251001155204428,,前往取货,650,10027.1,710.0,547,运行,弯轨等待,OHT03
1,8,1.6,OHT03,HOSTTRANSFER-20251001155204403,,前往取货,650,15802.5,710.0,547,运行,汇流避让,
1,8,1.6,OHT04,HOSTTRANSFER-20251001155204423,,前往取货,539,9562.7,710.0,540,运行,弯轨等待,
1,8,1.6,OHT05,HOSTTRANSFER-20251001155204424,,前往取货,539,20975.5,710.0,541,运行,正常运行,
1,8,1.6,OHT06,HOSTTRANSFER-20251001155204418,,前往取货,515,6138.8,710.0,,运行,正常运行,
1,8,1.6,OHT07,HOSTTRANSFER-20251001155204421,,前往取货,515,15269.1,710.0,,运行,正常运行,
1,8,1.6,OHT08,HOSTTRANSFER-20251001155204401,,前往取货,515,24399.4,710.0,517,运行,正常运行,
1,8,1.6,OHT09,HOSTTRANSFER-20251001155204407,,前往取货,509,9562.7,710.0,510,运行,弯轨等待,
1,8,1.6,OHT10,HOSTTRANSFER-20251001155204404,,前往取货,509,20975.5,710.0,511,运行,正常运行,
1,8,1.6,OHT11,HOSTTRANSFER-20251001155204399,,前往取货,488,6213.7,710.0,,运行,正常运行,
1,8,1.6,OHT12,HOSTTRANSFER-20251001155204417,,前往取货,488,15477.1,710.0,,运行,正常运行,
1,8,1.6,OHT13,HOSTTRANSFER-20251001155204426,,前往取货,488,24740.5,710.0,489,运行,汇流避让,
1,8,1.6,OHT14,HOSTTRANSFER-20251001155204398,,前往取货,483,9687.5,710.0,,运行,正常运行,
1,8,1.6,OHT15,HOSTTRANSFER-20251001155204412,,取货,483,20726.0,0.0,,取货,Port作业,
1,8,1.6,OHT16,HOSTTRANSFER-20251001155204422,,前往取货,454,6162.7,710.0,,运行,正常运行,
1,8,1.6,OHT17,HOSTTRANSFER-20251001155204414,,前往取货,454,15335.5,710.0,,运行,正常运行,
1,8,1.6,OHT18,HOSTTRANSFER-20251001155204420,,前往取货,454,24508.3,710.0,455,运行,汇流避让,
1,8,1.6,OHT19,HOSTTRANSFER-20251001155204402,,前往取货,448,9657.5,710.0,449,运行,弯轨等待,
1,8,1.6,OHT20,HOSTTRANSFER-20251001155204397,,取货,448,20646.0,0.0,,取货,Port作业,
1,9,1.8,OHT01,HOSTTRANSFER-20251001155204405,,前往取货,650,4393.7,710.0,547,运行,弯轨等待,OHT03
1,9,1.8,OHT02,HOSTTRANSFER-20251001155204428,,前往取货,650,10169.1,710.0,547,运行,弯轨等待,OHT03
1,9,1.8,OHT03,HOSTTRANSFER-20251001155204403,,前往取货,650,15944.5,710.0,547,运行,汇流避让,
1,9,1.8,OHT04,HOSTTRANSFER-20251001155204423,,前往取货,539,9704.7,710.0,540,运行,弯轨等待,
1,9,1.8,OHT05,HOSTTRANSFER-20251001155204424,,前往取货,539,21117.5,710.0,541,运行,正常运行,
1,9,1.8,OHT06,HOSTTRANSFER-20251001155204418,,前往取货,515,6280.8,710.0,,运行,正常运行,
1,9,1.8,OHT07,HOSTTRANSFER-20251001155204421,,前往取货,515,15411.1,710.0,,运行,正常运行,
1,9,1.8,OHT08,HOSTTRANSFER-20251001155204401,,前往取货,515,24541.4,710.0,517,运行,正常运行,
1,9,1.8,OHT09,HOSTTRANSFER-20251001155204407,,前往取货,509,9704.7,710.0,510,运行,弯轨等待,
1,9,1.8,OHT10,HOSTTRANSFER-20251001155204404,,前往取货,509,21117.5,710.0,511,运行,正常运行,
1,9,1.8,OHT11,HOSTTRANSFER-20251001155204399,,前往取货,488,6355.7,710.0,,运行,正常运行,
1,9,1.8,OHT12,HOSTTRANSFER-20251001155204417,,前往取货,488,15619.1,710.0,,运行,正常运行,
1,9,1.8,OHT13,HOSTTRANSFER-20251001155204426,,前往取货,488,24882.5,710.0,489,运行,汇流避让,
1,9,1.8,OHT14,HOSTTRANSFER-20251001155204398,,前往取货,483,9829.5,710.0,,运行,正常运行,
1,9,1.8,OHT15,HOSTTRANSFER-20251001155204412,,取货,483,20726.0,0.0,,取货,Port作业,
1,9,1.8,OHT16,HOSTTRANSFER-20251001155204422,,前往取货,454,6304.7,710.0,,运行,正常运行,
1,9,1.8,OHT17,HOSTTRANSFER-20251001155204414,,前往取货,454,15477.5,710.0,,运行,正常运行,
1,9,1.8,OHT18,HOSTTRANSFER-20251001155204420,,前往取货,454,24650.3,710.0,455,运行,汇流避让,
1,9,1.8,OHT19,HOSTTRANSFER-20251001155204402,,前往取货,448,9799.5,710.0,449,运行,弯轨等待,
1,9,1.8,OHT20,HOSTTRANSFER-20251001155204397,,取货,448,20646.0,0.0,,取货,Port作业,
1,10,2.0,OHT01,HOSTTRANSFER-20251001155204405,,前往取货,650,4535.7,710.0,547,运行,弯轨等待,OHT03
1,10,2.0,OHT02,HOSTTRANSFER-20251001155204428,,前往取货,650,10311.1,710.0,547,运行,弯轨等待,OHT03
1,10,2.0,OHT03,HOSTTRANSFER-20251001155204403,,前往取货,650,16086.5,710.0,547,运行,正常运行,
1,10,2.0,OHT04,HOSTTRANSFER-20251001155204423,,前往取货,539,9846.7,710.0,540,运行,弯轨等待,
1,10,2.0,OHT05,HOSTTRANSFER-20251001155204424,,前往取货,539,21259.5,710.0,541,运行,正常运行,
1,10,2.0,OHT06,HOSTTRANSFER-20251001155204418,,前往取货,515,6422.8,710.0,,运行,正常运行,
1,10,2.0,OHT07,HOSTTRANSFER-20251001155204421,,前往取货,515,15553.1,710.0,,运行,正常运行,
1,10,2.0,OHT08,HOSTTRANSFER-20251001155204401,,前往取货,515,24683.4,710.0,517,运行,汇流避让,
1,10,2.0,OHT09,HOSTTRANSFER-20251001155204407,,前往取货,509,9846.7,710.0,510,运行,弯轨等待,
