h,ice_speed,relative_speed,cd,wind_scale,velocity_length,stress_length,forcing_time,inertia,coriolis,drag,vp_internal,wind,ice_strength,concentration,eta_inertia,eta_vp
0.7914866374728811,0.07632498176867589,0.14501133234272534,0.0055241230429848,1.3416451804518923,13839.67188708556,10440.240812809736,27508.173687690047,0.0020138071302243823,0.007755461883640935,0.11906691310359985,0.005855702717902372,0.1697061832806237,61.13494650312524,0.7914866374728811,0.006659761733826385,0.01974751690733514
0.7989108213012757,0.0746529454630174,0.06024796711299621,0.004234143200715339,0.7911620740235082,8574.521407636543,4017.3445558188387,67729.44050921735,0.0008074899001899315,0.007656717481939095,0.015753396443668223,0.017819307117561526,0.10007496609028087,71.58629643719968,0.7989108213012757,0.005714542319392575,0.1443033208163187
0.7808424770609328,0.1122634510737891,0.14356652889030688,0.003488879725188589,0.6332979192913069,6466.919696908529,704.717836451969,77460.41165798466,0.001395442916224775,0.011253799943206437,0.07370827777785675,0.069173557843533,0.08010655449624067,48.74784002317971,0.7808424770609328,0.0059572654945821354,0.41905937496634543
0.5971968979109683,0.061968886487994757,0.09273553818086185,0.010975898671923055,0.9830209469430149,19821.488594191327,1195.1140255165533,39501.75481824371,0.0008591009161803395,0.004751039125711803,0.09675119722653588,0.0007924555542588454,0.12434340719981846,0.9470747474932402,0.5971968979109683,0.0037906288464646014,0.0035088370171557147
0.4917512432236028,0.0900186238759414,0.20135749854488663,0.0027357462255000503,1.463025667083458,17138.61977234732,956.879917869051,80348.24076928034,0.0005052086752450382,0.005682967958824448,0.1136934090442439,9.891574373568432e-05,0.1850597353308384,0.09465048874175772,0.4917512432236028,0.0016589509536362197,0.00032491461994230527
0.4365057953179683,0.15590413117035834,0.08699518695653057,0.004478111562938394,0.6722780544269847,7667.870296132488,523.2259278039785,56188.15345257315,0.0012688194818446976,0.00873665142811644,0.034738353147518185,5.318905667667605e-05,0.08503719491743662,0.027829893528672222,0.4365057953179683,0.009869059598056052,0.00041388332692526717
0.5576557925273301,0.09071812174699523,0.09263275137897695,0.011335513043939524,0.5240359383108081,7034.0819966183635,14925.483335881296,33725.19192278806,0.0013755461745341255,0.00649467822287484,0.09969977397417179,2.6869207052280835e-05,0.06628588563382573,0.4010359021071618,0.5576557925273301,0.007973847575143446,0.0001557812756525774
0.26620676777162133,0.16101658791708404,0.10368285253910471,0.009366425681838486,0.8627722573765304,11358.42585293424,2987.7338703608098,32570.006640672676,0.0012068163912344666,0.005502842502721089,0.10320758860247185,1.8845174095263496e-07,0.1091330174125938,0.0005630436493726488,0.26620676777162133,0.005539828511967402,8.65078762913762e-07
0.48628048583321537,0.0886783297042345,0.03690165444486139,0.009020315212865998,0.7943372017454716,6266.389692992987,3595.3278768203295,20032.498210411868,0.0019739610063726335,0.005536071845861562,0.012590334104015317,2.3334974958448014e-05,0.1004765915088147,0.08389688597301245,0.48628048583321537,0.016640158773151854,0.00019674861056167946
0.6802569470882001,0.0845620533710516,0.08923124571143808,0.005353513404787354,0.8420054603754561,15262.704815194393,2186.111635446458,83475.86853915502,0.0006319124254083714,0.007384921397230694,0.04369147151166751,0.002598470460624793,0.10650620228340385,5.680546508335777,0.6802569470882001,0.003944988272069372,0.016489577782710138
0.3427768396270367,0.04836736837115783,0.13327070293611795,0.00815933859666576,1.0720626605194326,15135.892569332324,2638.9065973753864,20152.748779473495,0.0007543952987746204,0.002128439451126908,0.14854163438508466,1.2705437295401513e-06,0.13560639206645114,0.003352846230137434,0.3427768396270367,0.002635186753042832,4.438170373292752e-06
0.5489863172620277,0.10658518221129512,0.11541373723035883,0.0026823834755996976,0.5451200308604239,11820.676009645445,3518.551416494254,16430.896415226547,0.0032656258884716572,0.0075120024986103946,0.03662349094722571,9.434362286481998e-05,0.06895283582800864,0.3319528878682121,0.5489863172620277,0.028852701609652382,0.0008342472072106184
0.7841666778548528,0.049499197215017575,0.09801024147635869,0.0041195564666233414,1.0114493031856147,5581.702102469967,512.3102451089106,37580.132370299034,0.0009471473953262964,0.0049831494286764625,0.040561802295318874,0.10212708371708942,0.12793934143426972,52.32075129136032,0.7841666778548528,0.0034365322871074515,0.5886820175929213
