step,time_hours,attempt_index,stage,accepted,converged,message,failure_reason,preconditioner,outer_aitken_initial,coupling_iterations,picard_iterations,gmres_iterations,ice_residual,gmres_residual,coupling_residual,water_residual,helmholtz_residual,attempt_total_seconds,outer_coupling_seconds,coupling_overhead_seconds,ice_solve_seconds,matrix_assembly_seconds,preconditioner_build_seconds,gmres_seconds,ice_residual_evaluation_seconds,ocean_solve_seconds,thickness_transport_seconds,force_budget_seconds,postprocess_seconds,ilu_builds,ilu_reuses,ilu_rebuilds,preconditioner_fallbacks,initial_guess_strategy,initial_guess_fallback_reason,outer_acceleration,acceleration_fallbacks,acceleration_history_clears,acceleration_clear_reasons,cache_invalidation_reason,active_center_count_before,active_center_count_after,active_center_mask_changes,active_u_mask_changes,active_v_mask_changes
27,2.25,1,standard,True,True,converged,,ilu,0.5,14,15,40,0.00011980403494370245,1.9876698670470894e-09,8.353632682423551e-06,2.4001937851032234e-09,2.307791857434139e-14,0.5723546000081114,0.5633593000238761,0.009726800140924752,0.45209949993295595,0.21181070007150993,0.09830529999453574,0.017993199813645333,0.11505770002258942,0.10153299994999543,0.0001238000113517046,0.008129900030326098,8.480000542476773e-05,14,1,0,0,two_state_linear_predictor,,protected_anderson,4,3,coupling_residual_increased|coupling_residual_increased|coupling_residual_increased,no_cache_phase1,800,800,0,0,0
28,2.3333333333333335,1,standard,True,True,converged,,ilu,0.5,11,11,25,3.9023324137794305e-05,2.705765377874804e-09,6.89345889888718e-06,2.452426384472536e-09,2.3338714463121156e-14,0.42600550001952797,0.4152999999932945,0.01220260001718998,0.3213238999596797,0.15249389997916296,0.07487899990519509,0.011479000037070364,0.07612239982699975,0.0817735000164248,0.00012179999612271786,0.009825700020883232,0.0001018000184558332,11,0,0,0,two_state_linear_predictor,,protected_anderson,2,1,coupling_residual_increased,no_cache_phase1,800,800,0,0,0
29,2.4166666666666665,1,standard,True,True,converged,,ilu,0.5,17,19,46,0.00022016680585441352,1.6440815570528375e-09,8.758236160976447e-06,2.502189438065901e-09,2.3892303781501456e-14,0.7611171000171453,0.7473920999909751,0.01117340027121827,0.5969287997577339,0.2867772999452427,0.12789949990110472,0.021032700198702514,0.15034370007924736,0.1392898999620229,0.00018779997481033206,0.012480599980335683,0.0001466000103391707,17,2,0,0,two_state_linear_predictor,,protected_anderson,7,6,coupling_residual_increased|coupling_residual_increased|coupling_residual_increased|coupling_residual_increased|anderson_step_guard|coupling_residual_increased,no_cache_phase1,800,800,0,0,0
30,2.5,1,standard,True,True,converged,,ilu,0.5,15,40,110,0.0003664192962260728,5.931596638292612e-09,9.05015331853289e-06,2.5595491875192757e-09,2.377861264586656e-14,1.2855099000153132,1.2752550999866799,0.010936399979982525,1.1525293001323007,0.5849356999970041,0.19325900002149865,0.048638800042681396,0.307882999884896,0.11178939987439662,0.00021009996999055147,0.008916900027543306,9.470002260059118e-05,27,13,12,0,two_state_linear_predictor,,protected_anderson,5,4,anderson_step_guard|coupling_residual_increased|coupling_residual_increased|coupling_residual_increased,no_cache_phase1,800,800,0,0,0
31,2.5833333333333335,1,standard,True,True,converged,,ilu,0.5,14,31,86,0.00020921059424053315,1.7808386146770515e-09,7.142813832767672e-06,2.6271579801356576e-09,2.3964145892179742e-14,1.144566000031773,1.1337003999506123,0.01194759993813932,1.0021277000196278,0.49416659987764433,0.17636730015510693,0.0453982999897562,0.2692225001519546,0.11962509999284521,0.00015890004578977823,0.00988090003374964,9.410001803189516e-05,22,9,8,0,two_state_linear_predictor,,protected_anderson,5,4,anderson_step_guard|coupling_residual_increased|coupling_residual_increased|coupling_residual_increased,no_cache_phase1,800,800,0,0,0
32,2.6666666666666665,1,standard,True,True,converged,,ilu,0.5,10,20,57,6.492188745979753e-05,1.1991585182489757e-09,6.2465333794114e-06,2.7015656070334634e-09,2.4188486914593624e-14,0.6933736000210047,0.6828922999557108,0.007023399928584695,0.5993800000287592,0.29061860009096563,0.11116800032323226,0.028177699947264045,0.15903699985938147,0.07648889999836683,0.0001317000132985413,0.009567499975673854,9.099999442696571e-05,15,5,5,0,two_state_linear_predictor,,protected_anderson,2,1,coupling_residual_increased,no_cache_phase1,800,800,0,0,0
33,2.75,1,standard,True,True,converged,,ilu,0.5,10,22,61,5.8022163102820734e-05,1.0222905260861741e-09,8.235040459858645e-06,2.776964071919623e-09,2.4028068195679747e-14,0.8155352000030689,0.8036087999935262,0.00885389995528385,0.7088289999519475,0.34647950006183237,0.12872930016601458,0.033828800020273775,0.18783739994978532,0.08592590008629486,0.00016850000247359276,0.01093419996323064,9.06999921426177e-05,15,7,5,0,two_state_linear_predictor,,protected_anderson,2,1,coupling_residual_increased,no_cache_phase1,800,800,0,0,0
34,2.8333333333333335,1,standard,True,True,converged,,ilu,0.5,8,20,62,0.0001689369845070596,1.8786987565504335e-09,9.443028420538674e-06,2.8491198291217295e-09,2.471735210702309e-14,0.7175145000219345,0.7070040000253357,0.007344300043769181,0.6312924999510869,0.3198234998853877,0.10856730013620108,0.032311700109858066,0.16018290002830327,0.06836720003047958,0.0001686000032350421,0.009550000017043203,0.0001097000204026699,13,7,5,0,two_state_linear_predictor,,protected_anderson,2,1,coupling_residual_increased,no_cache_phase1,800,800,0,0,0
35,2.9166666666666665,1,standard,True,True,converged,,ilu,0.5,13,31,85,0.0001245629028932109,4.132971555059579e-10,5.9118426802168435e-06,2.9171561880679874e-09,2.5577640346202342e-14,1.0373523000162095,1.0269381999969482,0.009837199992034584,0.9178051999770105,0.4472286000964232,0.16049050010042265,0.03876799996942282,0.2565802999888547,0.09929580002790317,0.0001370999962091446,0.008931299962569028,9.929999941959977e-05,22,9,9,0,two_state_linear_predictor,,protected_anderson,4,3,coupling_residual_increased|coupling_residual_increased|coupling_residual_increased,no_cache_phase1,800,800,0,0,0
36,3.0,1,standard,True,True,converged,,ilu,0.5,12,25,68,0.0001325820788882606,1.0821586210158915e-09,5.809967172288409e-06,2.993858445887356e-09,2.338767301669895e-14,0.8434249999700114,0.8338404999813065,0.00808530009817332,0.7371550999232568,0.3759084001649171,0.12274219992104918,0.031100300140678883,0.19548390002455562,0.08860009995987639,0.0002036000369116664,0.00852510001277551,8.559995330870152e-05,18,7,6,0,two_state_linear_predictor,,protected_anderson,4,3,coupling_residual_increased|coupling_residual_increased|coupling_residual_increased,no_cache_phase1,800,800,0,0,0
