step,time_hours,accepted_attempt_total_seconds,accepted_outer_coupling_seconds,accepted_coupling_overhead_seconds,accepted_ice_solve_seconds,accepted_matrix_assembly_seconds,accepted_preconditioner_build_seconds,accepted_gmres_seconds,accepted_ice_residual_evaluation_seconds,accepted_ocean_solve_seconds,accepted_thickness_transport_seconds,accepted_force_budget_seconds,accepted_postprocess_seconds,output_capture_seconds,all_attempts_total_seconds
50,4.166666666666667,0.6606308000045829,0.6510484000318684,0.004737400216981769,0.5899949998129159,0.2994200000539422,0.09914169990224764,0.025317899766378105,0.15699920000042766,0.05631600000197068,0.00014159997226670384,0.008623500005342066,8.759996853768826e-05,0.00016960001084953547,0.6606308000045829
51,4.25,0.7151679999660701,0.7042406999971718,0.00582549994578585,0.627440600132104,0.32196770003065467,0.10629490000428632,0.024799299892038107,0.16532380017451942,0.0709745999192819,0.00011969998013228178,0.010059899999760091,9.180000051856041e-05,0.00018179998733103275,0.7151679999660701
52,4.333333333333333,1.6175848999992013,1.6014701999956742,0.012216900067869574,1.4518322998192161,0.7596313998801634,0.2389359998051077,0.05684770015068352,0.37525250017642975,0.1374210001085885,0.0002166999620385468,0.014898699999321252,0.0001569000305607915,0.0003899000003002584,1.6175848999992013
53,4.416666666666667,1.8098046000231989,1.7992031999747269,0.020169599913060665,1.5416745998663828,0.7603232996189035,0.2949588000192307,0.056997200241312385,0.40178910008398816,0.23735900019528344,0.00013200001558288932,0.009398199967108667,9.430001955479383e-05,0.0003035999834537506,1.8098046000231989
54,4.5,0.7249207999557257,0.7148729999898933,0.005715299863368273,0.6364449000684544,0.3205815999535844,0.10651829990092665,0.02703960007056594,0.17182389996014535,0.07271280005807057,0.00018199998885393143,0.008842999988701195,8.849997539073229e-05,0.0001718999701552093,0.7249207999557257
55,4.583333333333333,1.1390646999934688,1.1225954999681562,0.00716919987462461,1.0204333001747727,0.529749600100331,0.1519819999812171,0.041131399862933904,0.2826502002426423,0.09499299991875887,0.0001993000041693449,0.015280499996151775,0.00015959999291226268,0.0003237000200897455,1.1390646999934688
56,4.666666666666667,0.9351070999982767,0.9232118999934755,0.007771700096782297,0.8110289999749511,0.41280590009409934,0.13555030024144799,0.03173599997535348,0.2179753999807872,0.10441119992174208,0.000971800007391721,0.009419200010597706,0.0002019999665208161,0.00018199998885393143,0.9351070999982767
57,4.75,0.8546975000062957,0.8436797999893315,0.008868600125424564,0.7285264999372885,0.36344220011960715,0.1265646998072043,0.026804500026628375,0.199769799830392,0.10628469992661849,0.00013040000339969993,0.00992819998646155,0.000103199970908463,0.00019649998284876347,0.8546975000062957
58,4.833333333333333,0.7850243999855593,0.7734684000024572,0.0079857999808155,0.6890038999845274,0.3455189998494461,0.11694180016638711,0.028798699844628572,0.18649589986307546,0.07647870003711432,0.0001330999657511711,0.01062620000448078,9.649997809901834e-05,0.00022730004275217652,0.7850243999855593
59,4.916666666666667,1.020887800026685,1.0055770999751985,0.008376299869269133,0.915354699944146,0.46558719989843667,0.1570928000146523,0.03619450016412884,0.24267679965123534,0.0818461001617834,0.00020000000949949026,0.014079099986702204,0.00015169999096542597,0.00039330002618953586,1.020887800026685
