record_type,step,stage,coupling_iteration,picard_iteration,ice_residual,gmres_residual,gmres_iterations,inner_relaxation,preconditioner,matrix_assembly_seconds,preconditioner_build_seconds,gmres_seconds,ice_residual_evaluation_seconds,ilu_builds,ilu_reuses,ilu_rebuilds,cache_invalidation_reason,preconditioner_fallbacks,outer_aitken_factor_applied,outer_acceleration_method,acceleration_fallback_reason,acceleration_history_cleared,acceleration_history_depth,coupling_residual,water_fixed_point_residual,water_equation_residual,water_residual_xi,water_residual_u,water_residual_v,helmholtz_residual,ocean_coriolis_iterations,drag_object_reused,ice_solve_seconds,ocean_solve_seconds,coupling_iteration_seconds,coupling_overhead_seconds
ice_picard,1,standard,5,1,0.0005617556728755515,2.0242802117106433e-09,3,0.5,ilu,0.012874400010332465,0.006402499973773956,0.001113200036343187,0.00651320000179112,1,0,0,new_picard_round,0,,,,,,,,,,,,,,,,,,
ice_picard,1,standard,6,1,0.0003935893650141466,1.0455824769149607e-09,3,0.5,ilu,0.014693800010718405,0.009332299989182502,0.0016320999711751938,0.007231900002807379,1,0,0,new_picard_round,0,,,,,,,,,,,,,,,,,,
ice_picard,1,standard,7,1,0.0003437269373895543,9.598385565696945e-10,3,0.5,ilu,0.014659899985417724,0.00656950002303347,0.0009857999975793064,0.006230300001334399,1,0,0,new_picard_round,0,,,,,,,,,,,,,,,,,,
ice_picard,1,standard,8,1,0.00019482850552921105,5.588728294413273e-10,3,0.5,ilu,0.014833099965471774,0.008916500024497509,0.0025065999943763018,0.007046799990348518,1,0,0,new_picard_round,0,,,,,,,,,,,,,,,,,,
ice_picard,1,standard,9,1,0.00017261861098744971,5.132857810504376e-10,3,0.5,ilu,0.01287360000424087,0.007540499966125935,0.0011128000332973897,0.0065327000338584185,1,0,0,new_picard_round,0,,,,,,,,,,,,,,,,,,
ice_picard,1,standard,10,1,0.00013098146818007344,5.566321203849295e-10,3,0.5,ilu,0.014127700007520616,0.010109499969985336,0.002128700027242303,0.01374050002777949,1,0,0,new_picard_round,0,,,,,,,,,,,,,,,,,,
ice_picard,1,standard,11,1,7.301736342343041e-05,2.30731833830313e-10,3,0.5,ilu,0.016216900025028735,0.008887099975254387,0.0014423999818973243,0.0068928999826312065,1,0,0,new_picard_round,0,,,,,,,,,,,,,,,,,,
ice_picard,1,standard,12,1,6.797705523207648e-05,1.939521022839053e-10,3,0.5,ilu,0.02310729998862371,0.007907700026407838,0.0013638000236824155,0.006829099962487817,1,0,0,new_picard_round,0,,,,,,,,,,,,,,,,,,
coupling,1,standard,1,0,0.0009527142838333001,9.698904082230598e-09,93,,,0.39761450001969934,0.18767230003140867,0.036285299982409924,0.1879423001082614,23,1,22,pattern_changed,0,0.5,aitken_fallback,insufficient_history,False,0.0,0.9999999999994416,0.9999999999265241,4.127571903586994e-09,2.878810978418752e-14,2.414698979149897e-10,4.127571903586994e-09,1.1791535182605103e-14,5.0,True,0.817972099990584,0.009866399981547147,0.8283868000144139,0.0005483000422827899
coupling,1,standard,2,0,0.0008666599544959218,8.947472350930365e-09,43,,,0.17799460014794022,0.09545179991982877,0.018116399878636003,0.08826759998919442,11,0,10,matrix_drift_exceeded,0,1.0,anderson,,False,1.0,0.5011622038984392,0.49998870398741907,4.127327540506883e-09,2.9899409851827016e-14,2.4147267494499535e-10,4.127327540506883e-09,1.2203155725240977e-14,5.0,True,0.3837542000110261,0.011744100018404424,0.39673779997974634,0.0012394999503158033
coupling,1,standard,3,0,0.0007397896968527049,4.5761256566953945e-09,3,,,0.01716119999764487,0.008034200000111014,0.0015720999799668789,0.007347200007643551,1,0,0,new_picard_round,0,0.9999723423495247,anderson,,False,2.0,0.0010447120013997062,0.0010447120013997062,4.125646206191929e-09,3.0984058462620516e-14,2.4155425270301626e-10,4.125646206191929e-09,1.2376796064817467e-14,5.0,True,0.03483439999399707,0.008696399978362024,0.04473859997233376,0.001207799999974668
coupling,1,standard,4,0,0.0006390708249949743,2.624803734534655e-09,3,,,0.01678519998677075,0.008756799972616136,0.001417500025127083,0.008558499976061285,1,0,0,new_picard_round,0,1.0,anderson,,False,3.0,0.00015446594013678795,0.00015446594013678795,4.126157360335306e-09,2.871631572306612e-14,2.4152676459149024e-10,4.126157360335306e-09,1.1956020935998478e-14,5.0,True,0.03627109999069944,0.013097100018057972,0.051394700014498085,0.0020265000057406723
coupling,1,standard,5,0,0.0005617556728755515,2.0242802117106433e-09,3,,,0.012874400010332465,0.006402499973773956,0.001113200036343187,0.00651320000179112,1,0,0,new_picard_round,0,1.0,anderson,,False,3.0,0.0001238244328126312,0.0001238244328126312,4.126387428448756e-09,2.8722341430409683e-14,2.4151141744635536e-10,4.126387428448756e-09,1.2857536896163948e-14,5.0,True,0.027469499967992306,0.008089999959338456,0.03709629998775199,0.0015368000604212284
coupling,1,standard,6,0,0.0003935893650141466,1.0455824769149607e-09,3,,,0.014693800010718405,0.009332299989182502,0.0016320999711751938,0.007231900002807379,1,0,0,new_picard_round,0,1.0,aitken_fallback,coupling_residual_increased,True,0.0,0.00015550268012713011,7.722699948513338e-05,4.1266910574308996e-09,2.989968856591041e-14,2.414887655136112e-10,4.1266910574308996e-09,1.1706284706349465e-14,5.0,True,0.03358980000484735,0.007869100023526698,0.042183600016869605,0.0007246999884955585
coupling,1,standard,7,0,0.0003437269373895543,9.598385565696945e-10,3,,,0.014659899985417724,0.00656950002303347,0.0009857999975793064,0.006230300001334399,1,0,0,new_picard_round,0,1.0,anderson,,False,1.0,6.310951245805183e-05,6.310951245805183e-05,4.126655902857507e-09,3.0007110901668917e-14,2.414905300639771e-10,4.126655902857507e-09,1.1597305188011234e-14,5.0,True,0.029201400000602007,0.007458000036422163,0.03742559999227524,0.0007661999552510679
