step,time_hours,chi,ice_inertia_weight,ice_coriolis_weight,retry_stage,retry_attempts,coupling_iterations,picard_iterations,gmres_iterations,thickness_substeps,all_attempts_coupling_iterations,all_attempts_picard_iterations,all_attempts_gmres_iterations
179,14.916666666666666,0.0,0.0,0.0,standard,1,8,14,41,1,8,14,41
180,15.0,0.0,0.0,0.0,standard,1,6,20,61,1,6,20,61
181,15.083333333333334,0.0,0.0,0.0,standard,1,7,34,103,1,7,34,103
182,15.166666666666666,0.0,0.0,0.0,standard,1,5,31,93,1,5,31,93
183,15.25,0.0,0.0,0.0,standard,1,8,37,111,1,8,37,111
184,15.333333333333334,0.0,0.0,0.0,standard,1,9,17,51,1,9,17,51
185,15.416666666666666,0.0,0.0,0.0,standard,1,7,24,77,1,7,24,77
186,15.5,0.0,0.0,0.0,standard,1,8,26,81,1,8,26,81
187,15.583333333333334,0.0,0.0,0.0,standard,1,9,29,89,1,9,29,89
188,15.666666666666666,0.0,0.0,0.0,standard,1,7,50,151,1,7,50,151
189,15.75,0.0,0.0,0.0,standard,1,8,69,225,1,8,69,225
190,15.833333333333334,0.0,0.0,0.0,standard,1,8,46,143,1,8,46,143
191,15.916666666666666,0.0,0.0,0.0,standard,1,5,36,110,1,5,36,110
192,16.0,0.0,0.0,0.0,standard,1,8,18,54,1,8,18,54
193,16.083333333333332,0.0,0.0,0.0,standard,1,7,8,24,1,7,8,24
194,16.166666666666668,0.0,0.0,0.0,standard,1,8,12,36,1,8,12,36
195,16.25,0.0,0.0,0.0,standard,1,8,11,32,1,8,11,32
196,16.333333333333332,0.0,0.0,0.0,standard,1,10,12,34,1,10,12,34
197,16.416666666666668,0.0,0.0,0.0,standard,1,7,8,23,1,7,8,23
198,16.5,0.0,0.0,0.0,standard,1,12,13,35,1,12,13,35
199,16.583333333333332,0.0,0.0,0.0,standard,1,12,13,39,1,12,13,39
200,16.666666666666668,0.0,0.0,0.0,standard,1,10,11,30,1,10,11,30
201,16.75,0.0,0.0,0.0,standard,1,7,12,36,1,7,12,36
202,16.833333333333332,0.0,0.0,0.0,standard,1,10,29,87,1,10,29,87
203,16.916666666666668,0.0,0.0,0.0,standard,1,6,13,37,1,6,13,37
204,17.0,0.0,0.0,0.0,standard,1,8,26,81,1,8,26,81
205,17.083333333333332,0.0,0.0,0.0,standard,1,9,26,84,1,9,26,84
206,17.166666666666668,0.0,0.0,0.0,standard,1,8,26,77,1,8,26,77
207,17.25,0.0,0.0,0.0,standard,1,7,66,208,1,7,66,208
208,17.333333333333332,0.0,0.0,0.0,standard,1,8,45,148,1,8,45,148
209,17.416666666666668,0.0,0.0,0.0,standard,1,7,44,136,1,7,44,136
210,17.5,0.0,0.0,0.0,standard,1,7,24,72,1,7,24,72
211,17.583333333333332,0.0,0.0,0.0,standard,1,8,13,39,1,8,13,39
212,17.666666666666668,0.0,0.0,0.0,standard,1,10,11,33,1,10,11,33
213,17.75,0.0,0.0,0.0,standard,1,8,11,33,1,8,11,33
214,17.833333333333332,0.0,0.0,0.0,standard,1,12,14,40,1,12,14,40
215,17.916666666666668,0.0,0.0,0.0,standard,1,11,14,39,1,11,14,39
216,18.0,0.0,0.0,0.0,standard,1,11,14,37,1,11,14,37
217,18.083333333333332,0.0,0.0,0.0,standard,1,11,14,39,1,11,14,39
218,18.166666666666668,0.0,0.0,0.0,standard,1,8,23,69,1,8,23,69
219,18.25,0.0,0.0,0.0,standard,1,11,29,86,1,11,29,86
220,18.333333333333332,0.0,0.0,0.0,standard,1,10,24,73,1,10,24,73
221,18.416666666666668,0.0,0.0,0.0,standard,1,6,23,70,1,6,23,70
222,18.5,0.0,0.0,0.0,standard,1,7,34,105,1,7,34,105
223,18.583333333333332,0.0,0.0,0.0,standard,1,11,28,89,1,11,28,89
224,18.666666666666668,0.0,0.0,0.0,standard,1,7,51,157,1,7,51,157
225,18.75,0.0,0.0,0.0,standard,1,8,62,207,1,8,62,207
226,18.833333333333332,0.0,0.0,0.0,standard,1,7,43,133,1,7,43,133
227,18.916666666666668,0.0,0.0,0.0,standard,1,7,32,96,1,7,32,96
228,19.0,0.0,0.0,0.0,standard,1,10,15,45,1,10,15,45
229,19.083333333333332,0.0,0.0,0.0,standard,1,11,14,40,1,11,14,40
