step,time_seconds,time_hours,chi,ice_inertia_weight,ice_coriolis_weight,mean_thickness_m,center_thickness_m,minimum_thickness_m,maximum_thickness_m,ice_volume_m3,ice_volume_relative_error,maximum_ice_speed_mps,maximum_ocean_speed_mps,mean_sea_surface_m,ice_residual,gmres_residual,coupling_residual,water_residual,water_residual_xi,water_residual_u,water_residual_v,helmholtz_residual,drag_closure_error,drag_face_l1_closure_error,drag_object_reused,maximum_inactive_drag,thickness_cfl_macro,thickness_substeps
20,6000.0,1.6666666666666667,0.0,0.0,0.0,0.5,0.5278880344751545,0.00013005354708516822,0.8630432095836227,100000000.0,0.0,0.1599943432957355,0.006148976142360445,-4.334310688136611e-16,0.00021810137125087363,6.379539557046989e-09,9.958043012954018e-06,4.369801874907567e-09,4.5580450489302194e-11,4.3768088466560856e-10,4.369801874907567e-09,1.2112036823449157e-13,0.0,0.0,True,0.0,0.3552158983704962,1
21,6300.0,1.75,0.0,0.0,0.0,0.5,0.5292389310915269,8.603230040899783e-05,0.8649506430505677,100000000.0,0.0,0.15974881951009703,0.006503737657249604,-4.537037412433164e-16,0.0006162567019335033,6.251814350592072e-09,9.760275200246565e-06,4.382068478515822e-09,5.278394935293678e-11,1.8072698121993793e-10,4.382068478515822e-09,1.219272424050803e-13,0.0,0.0,True,0.0,0.3606991068841681,1
22,6600.0,1.8333333333333333,0.0,0.0,0.0,0.5,0.5305849054082045,5.6911626939116376e-05,0.8667277197698027,100000000.0,0.0,0.16036478245162492,0.006859866977312269,-4.7422066273838935e-16,0.0003386286182625753,5.146003005289283e-09,9.844694749209183e-06,4.605666391492779e-09,7.609925182935584e-11,2.5753681347865174e-10,4.605666391492779e-09,1.2338608933924975e-13,0.0,0.0,True,0.0,0.35245678516263906,1
23,6900.0,1.9166666666666667,0.0,0.0,0.0,0.5,0.5319257194069433,3.76478872512697e-05,0.8688423107568561,100000000.0,0.0,0.16068125194229024,0.007216618634370593,-4.944267217865672e-16,0.0009306466109904305,2.677496033631075e-09,8.390692179672933e-06,4.791815746462264e-09,6.93534952516172e-11,2.74664701178467e-10,4.791815746462264e-09,1.2068143599190683e-13,0.0,0.0,True,0.0,0.34892095252532385,1
24,7200.0,2.0,0.0,0.0,0.0,0.5,0.5332611690888234,2.490464255213598e-05,0.8706162962988216,100000000.0,0.0,0.16000651540683972,0.007569357244403883,-5.143885317693276e-16,0.0004954596611951817,9.403145631766966e-10,9.998161642786678e-06,4.907271749642261e-09,5.463537150383178e-11,2.237081968934994e-10,4.907271749642261e-09,1.2339423226168782e-13,0.0,0.0,True,0.0,0.3599553273399514,1
25,7500.0,2.0833333333333335,0.0,0.0,0.0,0.5,0.5345910497241473,1.6474796097786053e-05,0.8725276037708997,100000000.0,0.0,0.1608218879071191,0.007920223880458979,-5.343725462125804e-16,0.0004675817336189681,3.102269383555741e-10,7.049966492942428e-06,5.028617430104527e-09,5.232145860041753e-11,2.2409246935676796e-10,5.028617430104527e-09,1.2133769593201837e-13,0.0,0.0,True,0.0,0.3586959861830718,1
26,7800.0,2.1666666666666665,0.0,0.0,0.0,0.5,0.5359151509983802,1.0898325205723224e-05,0.8740152441222073,100000000.0,0.0,0.1609903533621717,0.008268990523642914,-5.538902669854906e-16,0.0009708840439756856,8.326382665317713e-10,6.040195651747397e-06,5.201506038356803e-09,6.030924977679723e-11,2.940777180355711e-10,5.201506038356803e-09,1.2291078002262326e-13,0.0,0.0,True,0.0,0.3642116375175002,1
27,8100.0,2.25,0.0,0.0,0.0,0.5,0.5372332920393287,7.2094051442217685e-06,0.8754030820183756,100000000.0,0.0,0.1605789527536527,0.008616202071374557,-5.735190100608634e-16,0.0006314976658439136,3.3559109917398966e-09,9.873629257321936e-06,5.404924572244401e-09,6.922210102780582e-11,3.440576655241077e-10,5.404924572244401e-09,1.2193853962957085e-13,0.0,0.0,True,0.0,0.36458632651309936,1
28,8400.0,2.3333333333333335,0.0,0.0,0.0,0.5,0.5385452731051769,4.769128877835967e-06,0.8769369930143639,100000000.0,0.0,0.16118578677179157,0.008958933257450197,-5.927480728473711e-16,0.0005249234073113469,3.40067984996419e-09,9.97840655776986e-06,5.524363824394548e-09,6.044292179403683e-11,3.3613742871859923e-10,5.524363824394548e-09,1.2070229116973985e-13,0.0,0.0,True,0.0,0.3659998694966283,1
29,8700.0,2.4166666666666665,0.0,0.0,0.0,0.5,0.5398508755291741,3.1548496460427275e-06,0.8786075980311586,100000000.0,0.0,0.16108510638442086,0.009299353535141802,-6.121103623968338e-16,0.0004657216849095081,8.664093524822108e-09,9.98326963923161e-06,5.582099312315023e-09,6.08017742300124e-11,3.1692462227590436e-10,5.582099312315023e-09,1.1837612734515988e-13,0.0,0.0,True,0.0,0.37023836167614116,1
30,9000.0,2.5,0.0,0.0,0.0,0.5,0.5411498920973036,2.0869799549458436e-06,0.8797033990006788,100000000.0,0.0,0.16178283159845155,0.009637448047598701,-6.316724920907291e-16,0.0009298588199831913,4.2003036699237263e-10,8.189647253009276e-06,5.772218708319175e-09,7.274827231031686e-11,3.161002293479772e-10,5.772218708319175e-09,1.211669443287924e-13,0.0,0.0,True,0.0,0.37213959296749505,1
31,9300.0,2.5833333333333335,0.0,0.0,0.0,0.5,0.5424421112658074,1.3805683170602547e-06,0.8808817699504112,100000000.0,0.0,0.1617309086966423,0.0099724129148851,-6.509903727192068e-16,0.0009434308702685602,6.139675040492306e-09,8.948056373166319e-06,5.992817129467133e-09,7.164337204202596e-11,3.2123543841007043e-10,5.992817129467133e-09,1.232230496624164e-13,0.0,0.0,True,0.0,0.37119968337659526,1
