step,time_seconds,time_hours,F_I_abs_median,F_I_abs_p95,F_I_abs_maximum,F_C_abs_median,F_C_abs_p95,F_C_abs_maximum,F_sigma_abs_median,F_sigma_abs_p95,F_sigma_abs_maximum,F_D_abs_median,F_D_abs_p95,F_D_abs_maximum,F_W_abs_median,F_W_abs_p95,F_W_abs_maximum,combined_missing_abs_median,combined_missing_abs_p95,combined_missing_abs_maximum,undirected_IC_abs_sum_median,undirected_IC_abs_sum_p95,undirected_IC_abs_sum_maximum,retained_abs_sum_median,retained_abs_sum_p95,retained_abs_sum_maximum,retained_net_abs_median,retained_net_abs_p95,retained_net_abs_maximum,r_IC_corrected_median,r_IC_corrected_p95,r_IC_corrected_maximum,r_Sigma_median,r_Sigma_p95,r_Sigma_maximum,r_net_corrected_median,r_net_corrected_p95,r_net_corrected_maximum,deprecated_FI_plus_FC_abs_median,deprecated_FI_plus_FC_abs_p95,deprecated_FI_plus_FC_abs_maximum,r_IC_deprecated_FI_plus_FC_median,r_IC_deprecated_FI_plus_FC_p95,r_IC_deprecated_FI_plus_FC_maximum,r_net_deprecated_FI_plus_FC_median,r_net_deprecated_FI_plus_FC_p95,r_net_deprecated_FI_plus_FC_maximum,active_center_count_median,active_center_count_p95,active_center_count_maximum
24,7200.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.391178434984014e-05,0.11999754703415587,0.12705884230854994,0.12647885495593236,0.1266913967252723,0.12738717384208895,0.12649110640673517,0.12649110640673517,0.12649110640673517,0.0,0.0,0.0,0.0,0.0,0.0,0.25299368850175497,0.25496433073464336,0.2764146815317273,7.064045882434198e-11,9.888301917511219e-06,0.0028103154634819293,0.0,0.0,0.0,2.80238821636384e-10,4.035117461120591e-05,0.01122955172851573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,5000.0,5000.0
25,7500.0,2.0833333333333335,0.0,0.0,0.0,0.0,0.0,0.0,7.6199081840359e-05,0.12078133011570383,0.12783364654342955,0.126477865067052,0.12668792596067321,0.12742328868987265,0.12649110640673517,0.12649110640673517,0.12649110640673517,0.0,0.0,0.0,0.0,0.0,0.0,0.2529937400145006,0.2556533946556322,0.2765548155275112,7.792333579540516e-09,3.6975395073752126e-05,0.0014670926080618018,0.0,0.0,0.0,3.079874584639109e-08,0.00015310966037778781,0.006462386489846621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,5000.0,5000.0
26,7800.0,2.1666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,7.853333513120755e-05,0.12214058880178998,0.13093694528239858,0.12647676431843988,0.1266821548543207,0.12746292874319418,0.12649110640673517,0.12649110640673517,0.12649110640673517,0.0,0.0,0.0,0.0,0.0,0.0,0.252994203900027,0.2551537993345062,0.2766816077420946,2.5768591089730497e-08,2.610102866307543e-05,0.004969002803097421,0.0,0.0,0.0,1.0208530895283638e-07,0.00010668527412732201,0.033308265934975864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,5000.0,5000.0
27,8100.0,2.25,0.0,0.0,0.0,0.0,0.0,0.0,7.98416336851501e-05,0.1217081403815989,0.12711663105479498,0.1264762326405443,0.12666251544830479,0.1274917780345078,0.12649110640673517,0.12649110640673517,0.12649110640673517,0.0,0.0,0.0,0.0,0.0,0.0,0.2529938028941369,0.25555856188290904,0.27679154994661026,3.266302605083161e-10,4.953727396289404e-05,0.0024823329062439855,0.0,0.0,0.0,1.2911021434066778e-09,0.00021099099569261902,0.010332571301262318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,5000.0,5000.0
28,8400.0,2.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,8.069823969156291e-05,0.12161986085125906,0.12644413335373472,0.1264759871720501,0.12666167634241995,0.12750503829964532,0.12649110640673517,0.12649110640673517,0.12649110640673517,0.0,0.0,0.0,0.0,0.0,0.0,0.25299396914045813,0.2560346849224744,0.27692947621253106,2.764634072559373e-09,5.1495865525650934e-05,0.002882324872430728,0.0,0.0,0.0,1.0917967983579264e-08,0.00021817370897837595,0.014795179007779621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,5000.0,5000.0
29,8700.0,2.4166666666666665,0.0,0.0,0.0,0.0,0.0,0.0,8.141744791658659e-05,0.12281630498715655,0.1287475039142868,0.12647483441435442,0.12665321275648586,0.12753539892989135,0.12649110640673517,0.12649110640673517,0.12649110640673517,0.0,0.0,0.0,0.0,0.0,0.0,0.2529949922295348,0.25644760552833357,0.2770177903418368,6.844428442995222e-09,5.406074882468538e-05,0.002530860014688437,0.0,0.0,0.0,2.7059678951155467e-08,0.0002292239336378144,0.009912352171047469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,5000.0,5000.0
30,9000.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,8.470693624168085e-05,0.12390132421283945,0.12910531148988003,0.12647419477909794,0.1266405121443282,0.1275813002559392,0.12649110640673517,0.12649110640673517,0.12649110640673517,0.0,0.0,0.0,0.0,0.0,0.0,0.2529951703932357,0.25656797966412714,0.2771414272050316,2.985871439151795e-09,0.00010410228565694505,0.002676423108725767,0.0,0.0,0.0,1.1801407500476026e-08,0.0004044029533818002,0.01792104562006697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,5000.0,5000.0
31,9300.0,2.5833333333333335,0.0,0.0,0.0,0.0,0.0,0.0,8.841211938042707e-05,0.12398948022403493,0.12682657642657122,0.1264737338127762,0.12661575582552598,0.1275523207275234,0.12649110640673517,0.12649110640673517,0.12649110640673517,0.0,0.0,0.0,0.0,0.0,0.0,0.2529942358675925,0.2565726994944837,0.27722306394513,1.4184727767703251e-09,6.905965514218503e-05,0.0036302837889999207,0.0,0.0,0.0,5.601856247686918e-09,0.0003157918099988478,0.014548073253799655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,5000.0,5000.0
32,9600.0,2.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,9.119100322488614e-05,0.12364586437806939,0.13022246045443955,0.1264733232410774,0.12659654230842732,0.12755500083735247,0.12649110640673517,0.12649110640673517,0.12649110640673517,0.0,0.0,0.0,0.0,0.0,0.0,0.25299489559383354,0.25724570121294604,0.27726052230216847,1.430748891084088e-09,9.280664281450916e-05,0.00478017882777889,0.0,0.0,0.0,5.654717025086195e-09,0.00039638882698956885,0.01855821890734354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,5000.0,5000.0
33,9900.0,2.75,0.0,0.0,0.0,0.0,0.0,0.0,9.364706943436644e-05,0.12404681580132554,0.13063333091468346,0.12647181707841038,0.12658711035899903,0.1276044540714815,0.12649110640673517,0.12649110640673517,0.12649110640673517,0.0,0.0,0.0,0.0,0.0,0.0,0.2529956045697293,0.25781095307922364,0.27726452707050553,2.904260330517411e-07,3.297634174964189e-05,0.004373296943771164,0.0,0.0,0.0,1.1486023676503224e-06,0.00013484043877809058,0.02813733970568975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4999.0,4999.0,4999.0
