step,time_hours,chi,ice_inertia_weight,ice_coriolis_weight,retry_stage,retry_attempts,coupling_iterations,picard_iterations,gmres_iterations,thickness_substeps,all_attempts_coupling_iterations,all_attempts_picard_iterations,all_attempts_gmres_iterations
141,11.75,0.0,0.0,0.0,reset_aitken,2,8,426,2332,1,8,526,2924
142,11.833333333333334,0.0,0.0,0.0,reset_aitken,2,19,493,2772,1,19,593,3387
143,11.916666666666666,0.0,0.0,0.0,reset_aitken,2,8,502,2613,1,8,602,3164
144,12.0,0.0,0.0,0.0,reset_aitken,2,6,480,2526,1,6,580,3084
145,12.083333333333334,0.0,0.0,0.0,reset_aitken,2,8,465,2427,1,8,565,2966
146,12.166666666666666,0.0,0.0,0.0,reset_aitken,2,8,385,2019,1,8,485,2564
147,12.25,0.0,0.0,0.0,reset_aitken,2,8,433,2187,1,8,533,2713
148,12.333333333333334,0.0,0.0,0.0,reset_aitken,2,6,519,2720,1,6,619,3284
149,12.416666666666666,0.0,0.0,0.0,reset_aitken,2,6,642,3454,1,6,742,4000
150,12.5,0.0,0.0,0.0,reset_aitken,2,6,651,3569,1,6,751,4199
151,12.583333333333334,0.0,0.0,0.0,robust_preconditioner,3,5,720,1975,1,5,1120,4144
152,12.666666666666666,0.0,0.0,0.0,robust_preconditioner,3,5,735,2042,1,5,1135,4342
153,12.75,0.0,0.0,0.0,reset_aitken,2,5,638,3345,1,5,738,3918
154,12.833333333333334,0.0,0.0,0.0,robust_preconditioner,3,6,702,1959,1,6,1102,4123
155,12.916666666666666,0.0,0.0,0.0,reset_aitken,2,6,639,3639,1,6,739,4264
156,13.0,0.0,0.0,0.0,reset_aitken,2,5,682,3584,1,5,782,4167
157,13.083333333333334,0.0,0.0,0.0,robust_preconditioner,3,6,696,1803,1,6,1096,3935
158,13.166666666666666,0.0,0.0,0.0,robust_preconditioner,3,5,714,1773,1,5,1114,3850
159,13.25,0.0,0.0,0.0,robust_preconditioner,3,8,730,2002,1,8,1130,4314
160,13.333333333333334,0.0,0.0,0.0,reset_aitken,2,6,596,3017,1,6,696,3585
161,13.416666666666666,0.0,0.0,0.0,reset_aitken,2,5,688,3938,1,5,788,4542
162,13.5,0.0,0.0,0.0,reset_aitken,2,8,673,3191,1,8,773,3735
163,13.583333333333334,0.0,0.0,0.0,robust_preconditioner,3,6,725,1990,1,6,1125,4122
164,13.666666666666666,0.0,0.0,0.0,reset_aitken,2,5,675,3495,1,5,775,4055
165,13.75,0.0,0.0,0.0,reset_aitken,2,5,678,3043,1,5,778,3573
166,13.833333333333334,0.0,0.0,0.0,reset_aitken,2,8,576,2972,1,8,676,3500
167,13.916666666666666,0.0,0.0,0.0,reset_aitken,2,5,530,2764,1,5,630,3319
168,14.0,0.0,0.0,0.0,reset_aitken,2,8,434,2172,1,8,534,2698
